"Name","ID","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","beta","ckpt","indexpath","judgements","maxdocs","name","nrerank","quality_model","queryexp","querypath","resultpath","test","titleboost","topicpath","type","nDCG@5","nDCG@5_corr"
"lucene-baseline","u15lpm58","finished","Lucene Baseline","tommaso-green","tira_submission","2021-05-06T17:58:56.000Z","56","","0","0.05","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8224",""
"distinctive-sweep-110","qtldhheg","finished","-","lucamoro","","2021-05-06T10:20:07.000Z","379","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","15","","no","","","","0","","hybrid","0.7992",""
"playful-sweep-109","5w8smjdu","finished","-","lucamoro","","2021-05-06T10:11:08.000Z","1298534","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","15","","yes","","","","0","","hybrid","0.6686","0.6686"
"different-sweep-224","h4tscrkw","finished","-","tommaso-green","","2021-05-06T09:49:00.000Z","190","pxf10n30","0.75","2","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8103",""
"fine-sweep-223","99wljan1","finished","-","albyval97","","2021-05-06T09:48:26.000Z","209","pxf10n30","0.75","2","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7643",""
"curious-sweep-222","5c8654aw","finished","-","tommaso-green","","2021-05-06T09:47:05.000Z","1299799","pxf10n30","0.75","2","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8149","0.8149"
"volcanic-sweep-221","5tp1xda1","finished","-","albyval97","","2021-05-06T09:46:29.000Z","1299921","pxf10n30","0.75","2","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7671","0.7671"
"polar-sweep-220","hpvn6x58","finished","-","tommaso-green","","2021-05-06T09:43:46.000Z","196","pxf10n30","0.75","2","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8229",""
"rose-sweep-219","xckyen00","finished","-","albyval97","","2021-05-06T09:42:43.000Z","224","pxf10n30","0.75","2","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7761",""
"mild-sweep-218","zt9lht69","finished","-","tommaso-green","","2021-05-06T09:40:27.000Z","196","pxf10n30","0.75","2","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8271",""
